RAVE_OBS_ID,RAVEID,RA,DEC,HRV,eHRV,StdDev_HRV,MAD_HRV,CorrelationCoeff,PeakHeight,PeakWidth,CorrectionRV,SkyRV,eSkyRV,SkyCorrelationCoeff,Vrot_SPARV,ZeroPointFLAG,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,TEFF,LOGG,FE_H,O_H,MG_H,AL_H,SI_H,CA_H,NI_H,E_TEFF,E_LOGG,E_FE_H,E_O_H,E_MG_H,E_AL_H,E_SI_H,E_CA_H,E_NI_H,SNR,R_CHI_SQ,QC
20060729_2116m56_019,J210748.3-570204,316.951083333333,-57.0345555555556,-7.753,1.356,0.599414575509583,0.4509,50.07,0.949,70.09,-0.63,0.146,8.003,2.12,27.0,EAS,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,5898.636458485902,4.281681530722201,0.05491075992897453,nan,nan,nan,nan,nan,nan,92.67289771574542,0.14548787175874603,0.06528195074484985,nan,nan,nan,nan,nan,nan,41.09949409616597,0.8366024856215661,True
20080828_2116m56_038,J210745.3-570202,316.938708333333,-57.0338888888889,-5.69,1.092,1.01478799099451,0.8348,62.26,0.932,71.556,-1.123,-1.422,6.6,2.46,32.0,EAC,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,5835.713541332721,4.285855553471239,-0.05721436257795877,nan,nan,nan,nan,nan,nan,104.15470770753412,0.161306314157094,0.06995707313860881,nan,nan,nan,nan,nan,nan,31.660285164172386,0.7353975052748545,True
20070901_2109m51_042,J210035.5-514129,315.148,-51.6913888888889,-5.031,0.724,0.573197551750994,0.45006,94.96,0.981,73.568,-1.503,3.071,10.184,1.36,38.0,EAC,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,5825.144703395478,4.286354931496061,-0.2210929708052011,nan,nan,nan,nan,nan,nan,84.0966637932945,0.12973013552931104,0.06506890506516398,nan,nan,nan,nan,nan,nan,60.38327706043375,0.29650498849528445,True
20070901_2109m51_015,J210341.6-513229,315.923291666667,-51.5415,-3.636,0.897,0.472014230011483,0.3501,78.23,0.968,74.833,-1.623,-0.124,10.649,1.22,40.0,EAC*,e,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,5630.177939372101,4.456279734764532,-0.18264221579174206,nan,nan,nan,nan,nan,nan,87.9972179057557,0.12712440974260505,0.06754908653880697,nan,nan,nan,nan,nan,nan,53.764045754648876,0.5467033912434898,True
20060614_2148m65_130,J220213.1-671933,330.5545,-67.3256944444444,-16.724,3.773,1.61218033523962,1.2353,24.23,0.876,113.697,-0.116,-0.897,3.181,6.6,99.0,BCC,e,b,b,b,e,e,e,e,b,b,b,e,e,e,b,e,b,e,e,b,4337.937000613717,5.077131246867338,-0.5396133517202769,nan,nan,nan,nan,nan,nan,79.82162304869551,0.12146508897353199,0.07812458399752735,nan,nan,nan,nan,nan,nan,48.885677035826326,2.785966593806897,True
20081019_2148m65_135,J220156.2-671942,330.484291666667,-67.3284166666667,-11.488,0.898,0.624804893991361,0.4976,73.39,0.971,69.694,-1.529,0.8,7.326,2.16,34.0,BBS,e,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,5454.322325742504,4.414717689939951,-0.0003922393955213718,nan,nan,nan,nan,nan,nan,95.2321461639074,0.13496479296728536,0.06944315724607947,nan,nan,nan,nan,nan,nan,42.5977991954179,0.30478591889628937,True
20071120_0246m66_060,J022833.2-642816,37.1384583333333,-64.471,21.45,1.386,1.31875800576822,1.0849,42.07,0.893,61.51,-2.171,-3.186,3.588,5.04,26.0,BBC,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,6372.053361938669,4.051588478346863,-0.2511162212495167,nan,nan,nan,nan,nan,nan,107.42866502666236,0.15084443938763142,0.06863274060755933,nan,nan,nan,nan,nan,nan,32.11253188305119,0.7144847134337495,True
20120918_0220m62_099,J023456.1-631407,38.7339166666667,-63.2353611111111,24.239,1.405,1.00783894767192,0.87336,45.3,0.924,65.822,-0.26,0.636,2.011,11.23,28.0,AAS,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,5302.479290555465,3.452668963238156,-0.2682948766985142,nan,nan,nan,nan,nan,nan,101.13961207617872,0.12940252841821107,0.07536045793584861,nan,nan,nan,nan,nan,nan,37.15500929215805,0.9923567969630469,True
20091113_0405m49_079,J040740.4-473524,61.9183333333333,-47.5901111111111,7.522,1.157,0.72963610412619,0.53564,59.02,0.953,72.761,-0.514,-1.45,2.813,7.76,41.0,BBC,n,e,e,e,n,e,n,e,n,e,n,e,n,n,n,n,n,n,e,n,5186.801544980572,4.525912554667361,-0.027691958691794603,nan,nan,nan,nan,nan,nan,92.28646825034264,0.13037266141147233,0.07135810393326694,nan,nan,nan,nan,nan,nan,41.50546863872814,0.5948410031759795,True
20040924_0342m46_111,J035809.6-463615,59.540125,-46.6040833333333,13.096,3.701,1.45885888625323,1.07274074074074,12.72,0.617,52.568,0.219,0.153,0.767,31.07,14.0,AAC,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,6500.273180146546,4.579974701900333,0.13475626809062893,nan,nan,nan,nan,nan,nan,181.4915454665216,0.1837298887593055,0.09088236308936552,nan,nan,nan,nan,nan,nan,12.120505904857461,0.9942197501416222,True
20060818_0024m21_108,J003219.8-212053,8.08254166666667,-21.3480277777778,10.139,5.312,1.45499735013123,1.02828,8.23,0.447,47.236,-0.423,-1.305,1.175,20.07,10.0,BCC,c,c,c,n,n,c,n,n,n,c,n,n,n,n,n,n,n,n,n,n,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.404331578727149,4.501210950139853,False
20060820_0042m19_131,J003945.5-195018,9.93975,-19.8383888888889,1.269,0.623,0.787768832420611,0.59036,113.67,0.972,73.097,1.749,-3.397,9.025,1.17,35.0,EBC*,n,n,n,n,n,e,n,n,n,n,n,n,n,n,n,n,n,n,n,n,5735.3894916237805,4.452681696925125,-0.06243880283611351,nan,nan,nan,nan,nan,nan,87.98023292184212,0.1291923142032825,0.06495984468557064,nan,nan,nan,nan,nan,nan,54.295932361481974,0.567799571688181,True
20080629_2109m51_143,J211659.5-535008,319.248,-53.8355,11.722,1.555,1.57828480742017,1.0624,46.39,0.934,77.393,-0.503,-3.313,4.835,4.52,48.0,EDS,n,e,n,e,e,e,n,n,n,e,n,e,n,n,n,n,n,e,e,e,4559.183157780249,4.78073475633725,0.07445729435772003,nan,nan,nan,nan,nan,nan,95.95236926587373,0.13031069053545188,0.07998187771768508,nan,nan,nan,nan,nan,nan,27.011404484630347,0.5759112171456107,True
20071017_2109m51_141,J211703.9-534903,319.26625,-53.8175,16.081,1.876,1.0230401317207,0.7836,36.89,0.907,70.87,-2.262,-1.993,6.338,2.49,29.0,CBC,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,29.56461698241428,6.538964762008088,False
20041003_0348m29_053,J034208.8-292359,55.5365,-29.3996388888889,6.935,1.512,0.588437186301327,0.4415,46.13,0.959,72.875,-4.037,-4.197,7.448,2.08,32.0,BBC,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,5995.22086862718,4.539978939247221,-0.19559615761108112,nan,nan,nan,nan,nan,nan,89.52360402707752,0.1270861337336322,0.06597287085728203,nan,nan,nan,nan,nan,nan,48.96256155415907,1.0911280101827503,True
20060918_0346m30_099,J035348.0-294229,58.4498333333333,-29.708,10.74,1.43,0.543469768146204,0.3941,42.11,0.908,65.117,-1.059,-3.485,5.287,3.07,30.0,BBC,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,5912.574447157657,4.2495374320448,-0.1702296150157266,nan,nan,nan,nan,nan,nan,87.85692286504276,0.13372588693557674,0.06562925752936132,nan,nan,nan,nan,nan,nan,50.213943819342,1.4808218328279943,True
